,Log_BEV Percentage (Total Number Of Registrations)
9,2.002830439307996
10,2.702702594775615
11,2.815408719422709
12,3.0402275134405423
23,1.4996230464268938
24,1.908059924924216
25,2.4265710727750367
26,3.0248055210396982
37,0.8064758658669484
38,1.175573329804238
39,1.5173226235262949
40,1.7749523509116738
51,0.9082585601768908
52,1.3887912413184778
53,1.396244691973059
54,1.3532545070416904
65,0.3506568716131694
66,0.5596157879354227
67,1.410986973710262
68,1.8547342683894437
79,0.959350221334602
80,0.8241754429663494
81,1.1151415906193205
82,1.47932922708708
93,2.0992441689760155
94,2.667228206581955
95,3.0777729838902004
96,3.617383452408866
107,1.0715836162801904
108,1.1786549963416462
109,1.4586150226995167
110,2.0001277349601105
121,1.6863989535702288
122,2.425687290128029
123,2.933324813425374
124,3.5527733211169448
135,2.0438143640366846
136,2.376764491168297
137,2.658159431488745
138,2.8752581200861167
149,2.0228711901914416
150,2.667228206581955
151,2.9183111265854063
152,2.9590682891824
163,0.6097655716208943
164,1.1314021114911006
165,1.2556160374777745
166,1.7047480922384253
177,1.199964782928397
178,1.5129270120532563
179,1.6524974018945473
180,1.8961194845522975
191,1.6974487897568136
192,2.2321626286975
193,2.766947842349696
194,2.9841656371825254
205,1.208960345836975
206,1.7263316639055997
207,1.55814461804655
208,1.6544112780768316
219,1.144222799920162
220,1.3711807233098423
221,1.998773638612381
222,2.349468678892896
233,0.7561219797213337
234,1.528227857008557
235,1.8180767775454283
236,2.128231705849268
247,1.885553348514416
248,2.4475508632442318
249,2.822568654544802
250,3.184284380098582
261,0.8020015854720274
262,0.9162907318741552
263,1.0784095813505905
264,2.769458829230853
275,3.064791809485486
276,3.0392705755684744
277,3.1912990570979662
278,3.4506222649896783
289,0.6205764877251098
290,0.9555114450274363
291,1.3056264580524355
292,1.5260563034950492
303,1.8562979903656265
304,2.306577114263583
305,2.516889695641051
306,2.955430976780465
317,1.1786549963416462
318,1.8341801851120072
319,2.2965670206684825
320,2.444952334280968
331,0.7839015438284094
332,0.9162907318741552
333,1.0681530811834012
334,1.3506671834767394
345,1.415853163361435
346,1.4182774069729414
347,1.791759469228055
348,2.288486168614544
359,1.144222799920162
360,1.3402504226184837
361,1.5810384379124025
362,1.913977101952304
373,2.356125859922076
374,3.000222178826843
375,3.521643534738023
376,3.674273301724574
