,Log_BEV Percentage (Total Number Of Registrations)
0,2.002830439307996
1,2.702702594775615
2,2.815408719422709
3,3.0402275134405423
4,2.922085733385692
6,1.4996230464268938
7,1.908059924924216
8,2.4265710727750367
9,3.0248055210396982
10,3.380314170745731
12,0.8064758658669484
13,1.175573329804238
14,1.5173226235262949
15,1.7749523509116738
16,1.601405740736836
18,0.9082585601768908
19,1.3887912413184778
20,1.396244691973059
21,1.3532545070416904
22,1.324418957401803
24,0.3506568716131694
25,0.5596157879354227
26,1.410986973710262
27,1.8547342683894437
28,2.188295946591918
30,0.959350221334602
31,0.8241754429663494
32,1.1151415906193205
33,1.47932922708708
34,1.7404661748405046
36,2.0992441689760155
37,2.667228206581955
38,3.0777729838902004
39,3.617383452408866
40,3.964994890194252
42,1.0715836162801904
43,1.1786549963416462
44,1.4586150226995167
45,2.0001277349601105
46,1.824549292051046
48,1.6863989535702288
49,2.425687290128029
50,2.933324813425374
51,3.5527733211169448
52,3.4187098067467865
54,2.0438143640366846
55,2.376764491168297
56,2.658159431488745
57,2.8752581200861167
58,2.8859174075467844
60,2.0228711901914416
61,2.667228206581955
62,2.9183111265854063
63,2.9590682891824
64,2.6720775406433925
66,0.6097655716208943
67,1.1314021114911006
68,1.2556160374777745
69,1.7047480922384253
70,1.9344157696295785
72,1.199964782928397
73,1.5129270120532563
74,1.6524974018945473
75,1.8961194845522975
76,2.0844290831908747
78,1.6974487897568136
79,2.2321626286975
80,2.766947842349696
81,2.9841656371825254
82,2.733717947850788
84,1.208960345836975
85,1.7263316639055997
86,1.55814461804655
87,1.6544112780768316
88,1.6582280766035324
90,1.144222799920162
91,1.3711807233098423
92,1.998773638612381
93,2.349468678892896
94,2.1424163408412245
96,0.7561219797213337
97,1.528227857008557
98,1.8180767775454283
99,2.128231705849268
100,2.0347056478384444
102,1.885553348514416
103,2.4475508632442318
104,2.822568654544802
105,3.184284380098582
106,3.34533224882076
108,0.8020015854720274
109,0.9162907318741552
110,1.0784095813505905
111,2.769458829230853
112,3.683364273425826
114,3.064791809485486
115,3.0392705755684744
116,3.1912990570979662
117,3.4506222649896783
118,3.5681232529781366
120,0.6205764877251099
121,0.9555114450274363
122,1.3056264580524355
123,1.5260563034950492
124,1.3862943611198906
126,1.8562979903656265
127,2.306577114263583
128,2.516889695641051
129,2.955430976780465
130,3.047375506705829
132,1.1786549963416462
133,1.8341801851120072
134,2.2965670206684825
135,2.444952334280968
136,2.0135687975291283
138,0.7839015438284094
139,0.9162907318741552
140,1.0681530811834012
141,1.3506671834767394
142,1.205970806988609
144,1.415853163361435
145,1.4182774069729414
146,1.791759469228055
147,2.288486168614544
148,1.9430489167742813
150,1.144222799920162
151,1.3402504226184837
152,1.5810384379124025
153,1.913977101952304
154,1.9154509415706047
156,2.356125859922076
157,3.000222178826843
158,3.521643534738023
159,3.674273301724574
160,3.5832411220909397
