Country,Year,BEV Percentage (Total Number Of Registrations),BEV (New Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR)
Austria,2011,0.18,631.0,"308,167.0",3.286579148753771,1.6,,17.5,175.0,4.0,16.375,95.0,
Austria,2012,0.13,427.0,"316,589.4",2.485675621770154,1.0,1063.0,,,4.0,,95.0,
Austria,2013,0.21,656.0,"321,191.7",2.000156169005993,0.4,1173.0,48.2,270.0,8.0,32.9,142.22,30469.93
Austria,2014,0.44,1344.0,"330,113.5",1.605811829544746,1.0,1393.0,22.6,240.0,13.0,33.26,155.77,35555.64
Austria,2015,0.55,1699.0,"342,083.5",0.896563335260335,0.6,1625.0,47.7,381.25,21.0,56.41,215.22,42052.0
Austria,2016,1.15,3806.0,"355,665.6",0.8915917526553154,1.3,1998.0,44.85,371.5,23.0,62.485,269.27,39789.11
Austria,2017,1.53,5398.0,"367,294.9",2.081269113855855,1.7,3842.0,47.705882352941,267.27272727273,28.0,40.4,221.75,44717.86
Austria,2018,1.99,6774.0,"383,234.3",1.998379814295466,1.8,4079.0,48.714285714286,267.77777777778,29.0,41.2,216.55,46225.88
Austria,2019,2.81,9242.0,"395,706.8",1.530895641526439,1.1,7694.0,57.066666666667,458.92857142857,34.0,69.48,300.68,42237.97
Austria,2020,6.41,15955.0,"380,317.9",1.381910633518592,-1.6,26797.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Austria,2021,13.92,33379.0,"406,231.5",2.7666666666667,2.0,39904.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Austria,2022,15.7,33768.0,"449,382.2",8.546869931884492,2.7,61393.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Austria,2023,19.91,47614.0,"477,837.3",7.814134170028328,0.8,76773.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Austria,2024,17.58,44622.0,"494,087.6",2.937915742793849,0.1,102562.0,,,,,,
Belgium,2011,0.05,288.0,"378,745.4",3.532082107227431,1.2,,17.5,175.0,4.0,16.375,95.0,
Belgium,2012,0.12,585.0,"387,934.9",2.83966343445896,0.2,,,,4.0,,95.0,
Belgium,2013,0.1,494.0,"394,616.3",1.113095940275394,-0.2,378.0,48.2,270.0,8.0,32.9,142.22,30469.93
Belgium,2014,0.27,1339.0,"404,958.3",0.3400028333569646,0.4,614.0,22.6,240.0,13.0,33.26,155.77,35555.64
Belgium,2015,0.32,1613.0,"415,538.0",0.5614291527900868,0.8,1437.0,47.7,381.25,21.0,56.41,215.22,42052.0
Belgium,2016,0.41,2216.0,"428,467.1",1.973852646531751,1.3,1620.0,44.85,371.5,23.0,62.485,269.27,39789.11
Belgium,2017,0.53,2945.0,"443,407.2",2.125970860026078,1.5,1789.0,47.705882352941,267.27272727273,28.0,40.4,221.75,44717.86
Belgium,2018,0.72,4041.0,"459,491.8",2.053164998651842,1.5,3038.0,48.714285714286,267.77777777778,29.0,41.2,216.55,46225.88
Belgium,2019,1.59,8886.0,"479,444.9",1.436819569964301,1.6,6558.0,57.066666666667,458.92857142857,34.0,69.48,300.68,42237.97
Belgium,2020,3.48,14996.0,"463,750.9",0.740791812220353,-0.1,28147.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Belgium,2021,5.74,21975.0,"506,047.2",2.440248511440835,1.7,43781.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Belgium,2022,10.32,37815.0,"561,309.1",9.597511728725014,1.9,72304.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Belgium,2023,19.59,93382.0,"602,376.3",4.049010776139445,0.8,147542.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Belgium,2024,28.38,127242.0,"620,271.8",3.143491365000369,0.3,263074.0,,,,,,
Bulgaria,2011,0.0,0.0,"81,126.3",4.21990346601874,-2.2,,17.5,175.0,4.0,16.375,95.0,
Bulgaria,2012,0.0,0.0,"82,642.8",2.954568298310172,-2.5,,,,4.0,,95.0,
Bulgaria,2013,,,"82,253.4",0.890093540913077,-0.4,,48.2,270.0,8.0,32.9,142.22,30469.93
Bulgaria,2014,,,"84,147.7",-1.418183802648447,0.4,,22.6,240.0,13.0,33.26,155.77,35555.64
Bulgaria,2015,0.06,10.0,"89,571.4",-0.1046332610083839,0.4,18.0,47.7,381.25,21.0,56.41,215.22,42052.0
Bulgaria,2016,0.05,11.0,"95,349.4",-0.7986498864536767,0.5,22.0,44.85,371.5,23.0,62.485,269.27,39789.11
Bulgaria,2017,0.05,13.0,"102,683.0",2.061596194431412,1.8,94.0,47.705882352941,267.27272727273,28.0,40.4,221.75,44717.86
Bulgaria,2018,0.51,145.0,"109,525.9",2.814544738248301,-0.1,108.0,48.714285714286,267.77777777778,29.0,41.2,216.55,46225.88
Bulgaria,2019,0.57,188.0,"119,685.9",3.103729447967741,-1.5,145.0,57.066666666667,458.92857142857,34.0,69.48,300.68,42237.97
Bulgaria,2020,1.24,277.0,"120,979.0",1.672440968557628,-1.8,609.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Bulgaria,2021,2.24,550.0,"139,536.6",3.297744352995085,0.1,1634.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Bulgaria,2022,3.56,1021.0,"168,354.3",15.32525892643667,1.1,3322.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Bulgaria,2023,4.9,1754.0,"184,875.0",9.442841400885662,1.1,5338.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Bulgaria,2024,3.96,1665.0,"204,906.9",2.446519430060781,1.1,10290.0,,,,,,
Croatia,2011,0.0,0.0,"45,178.9",2.272727272727254,-4.0,,17.5,175.0,4.0,16.375,95.0,
Croatia,2012,0.0,0.0,"44,791.5",3.412073490813648,-3.3,,,,4.0,,95.0,
Croatia,2013,,,"45,061.5",2.216582064297766,-3.1,,48.2,270.0,8.0,32.9,142.22,30469.93
Croatia,2014,0.02,14.0,"44,867.9",-0.2151961595762623,2.6,,22.6,240.0,13.0,33.26,155.77,35555.64
Croatia,2015,0.09,70.0,"45,965.7",-0.464499004644924,1.0,77.0,47.7,381.25,21.0,56.41,215.22,42052.0
Croatia,2016,0.05,45.0,"47,565.9",-1.125,-0.5,232.0,44.85,371.5,23.0,62.485,269.27,39789.11
Croatia,2017,0.01,7.0,"49,732.5",1.129372102823444,1.2,436.0,47.705882352941,267.27272727273,28.0,40.4,221.75,44717.86
Croatia,2018,0.09,130.0,"52,216.7",1.500125010417555,0.8,569.0,48.714285714286,267.77777777778,29.0,41.2,216.55,46225.88
Croatia,2019,0.16,240.0,"54,905.5",0.7718203464980374,1.8,146.0,57.066666666667,458.92857142857,34.0,69.48,300.68,42237.97
Croatia,2020,1.48,533.0,"50,744.0",0.154811374562112,-1.4,1148.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Croatia,2021,3.01,1351.0,"58,343.1",2.554506996420369,1.6,3514.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Croatia,2022,3.04,1305.0,"67,613.0",10.78058067586863,1.9,3725.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Croatia,2023,2.87,1617.0,"79,186.3",7.941281775868271,1.7,4792.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Croatia,2024,2.76,1793.0,"85,905.2",2.972004776436221,5.6,6380.0,,,,,,
Cyprus,2011,0.0,0.0,"19,858.1",3.28944939564209,0.3,,17.5,175.0,4.0,16.375,95.0,
