"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(5.0.0)","AUT.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Austria","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.286579148753771","2.485675621770154","2.000156169005993","1.605811829544746","0.896563335260335","0.8915917526553154","2.081269113855855","1.998379814295466","1.530895641526439","1.381910633518592","2.7666666666667","8.546869931884492","7.814134170028328","2.937915742793849"
"IMF.STA:CPI(5.0.0)","BEL.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Belgium","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.532082107227431","2.83966343445896","1.113095940275394","0.3400028333569646","0.5614291527900868","1.973852646531751","2.125970860026078","2.053164998651842","1.436819569964301","0.740791812220353","2.440248511440835","9.597511728725014","4.049010776139445","3.143491365000369"
"IMF.STA:CPI(5.0.0)","DNK.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Denmark","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.758682260512422","2.397914856646426","0.7890717800780586","0.5640205404495192","0.4520341536915922","0.2500000000000201","1.14713216957606","0.8136094674556213","0.7581315725116164","0.4207119741100971","1.853045439896808","7.696566998892644","3.305178112376054","1.372200497689185"
"IMF.STA:CPI(5.0.0)","FRA.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","France","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.111597951749987","1.954195316135015","0.8637154978618733","0.5077588229379629","0.0375143805125298","0.1833348611238293","1.03228275064667","1.850815083155015","1.108254922882918","0.4764988527250138","1.642331410383928","5.222367483697355","4.878357265084381","1.99904942291464"
"IMF.STA:CPI(5.0.0)","DEU.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Germany","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.075172837358742","2.008488847829526","1.504723302518823","0.9067940004342138","0.5144261371254552","0.4917470084452129","1.509494851096218","1.732168797669476","1.445659768882532","0.1448779258139629","3.0666666666667","6.872574385510962","5.946436677258284","2.256498143387575"
"IMF.STA:CPI(5.0.0)","ITA.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Italy","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.780632728793267","3.041363332267728","1.219993422743025","0.2410474298267941","0.03879039965791464","-0.094016656915686","1.226533166458052","1.137487636003956","0.6112469437652812","-0.1377075739165006","1.87378325762482","8.201289911617138","5.622194421959058","0.9823730230613803"
"IMF.STA:CPI(5.0.0)","LUX.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Luxembourg","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.410683410683419","2.662841655080202","1.734039635191627","0.6285439854407106","0.4747431614377936","0.2908333333333","1.730799591188926","1.52819524307374","1.743320756538523","0.819957302127018","2.526920090661688","6.336008077779127","3.741403619831411","2.051132699548584"
"IMF.STA:CPI(5.0.0)","NLD.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Netherlands, The","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.34107017751372","2.455547652916089","2.506898526578851","0.9760350796996724","0.6002481472787464","0.3166666666667","1.381458714072071","1.703497947444753","2.633699102495964","1.272460377891656","2.675720088053855","10.00120787534726","3.838393543428104","3.347543042199504"
"IMF.STA:CPI(5.0.0)","SWE.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Sweden","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.961150738221425","0.8883775069236393","-0.04429297014857508","-0.1796384941146926","-0.04678474498330901","0.9842692445780518","1.79449904665588","1.953535301270277","1.784150974038374","0.497367318853587","2.163197364471508","8.36929098869185","8.54862489748906","2.835816582240299"
"IMF.STA:CPI(5.0.0)","FIN.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Finland","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.4168075425521","2.808336225615751","1.478286156888081","1.041196211784392","-0.2079288399052519","0.3566845008917245","0.7540150470843531","1.083820984093036","1.024093929634245","0.2905545556533039","2.194574323400038","7.123507733014013","6.250643221547617","1.565689062316196"
