"Category","AC","DC"
"2020 Q1",8346,1894
"2020 Q2",9094,2079
"2020 Q3",9939,2215
"2020 Q4",10199,3624
"2021 Q1",10571,3598
"2021 Q2",11008,3685
"2021 Q3",10676,3860
"2021 Q4",13081,4356
"2022 Q1",12877,4399
"2022 Q2",13380,4715
"2022 Q3",14479,5266
"2022 Q4",15082,5623
"2023 Q1",15071,6397
"2023 Q2",15228,7236
"2023 Q3",16209,7248
"2023 Q4",16776,7847
"2024 Q1",17345,8365
"2024 Q2",18674,8854
"2024 Q3",19776,9279
"2024 Q4",20353,9871
"2025 Q1",17368,9953
"2025 Q2",17625,10153
"2025 Q3",17259,10701
"2025 Q4",16703,10891
