"Category","AC","DC"
"2020 Q1",9676,533
"2020 Q2",10316,568
"2020 Q3",11601,659
"2020 Q4",12961,1366
"2021 Q1",14036,1205
"2021 Q2",14772,1247
"2021 Q3",19289,1565
"2021 Q4",17000,1423
"2022 Q1",16197,1460
"2022 Q2",18293,1697
"2022 Q3",19217,2289
"2022 Q4",21891,2466
"2023 Q1",22469,2978
"2023 Q2",27552,3696
"2023 Q3",28955,3942
"2023 Q4",32413,4753
"2024 Q1",37553,5760
"2024 Q2",38917,6409
"2024 Q3",40474,7086
"2024 Q4",45231,8547
"2025 Q1",47967,8685
"2025 Q2",54008,9471
"2025 Q3",49838,9941
"2025 Q4",49594,9937
