"Category","AC","DC"
"2020 Q1",3536,377
"2020 Q2",3906,433
"2020 Q3",4321,456
"2020 Q4",4573,933
"2021 Q1",5178,823
"2021 Q2",5077,857
"2021 Q3",5303,933
"2021 Q4",6052,1095
"2022 Q1",6296,1146
"2022 Q2",7114,1226
"2022 Q3",7787,1396
"2022 Q4",9337,1525
"2023 Q1",10081,1741
"2023 Q2",10709,1870
"2023 Q3",11245,2064
"2023 Q4",12081,2151
"2024 Q1",12311,2345
"2024 Q2",12605,2624
"2024 Q3",11084,3035
"2024 Q4",14081,3369
"2025 Q1",14314,3538
"2025 Q2",15224,3898
"2025 Q3",18167,4559
"2025 Q4",18284,4917
