"Category","AC","DC"
"2020 Q1",15236,2137
"2020 Q2",16013,2263
"2020 Q3",17693,2445
"2020 Q4",18836,3668
"2021 Q1",21162,3348
"2021 Q2",24750,3678
"2021 Q3",25576,4047
"2021 Q4",30324,4698
"2022 Q1",31754,5133
"2022 Q2",37340,5570
"2022 Q3",41384,6143
"2022 Q4",45579,6631
"2023 Q1",53749,8293
"2023 Q2",58886,315
"2023 Q3",60354,7327
"2023 Q4",61725,11195
"2024 Q1",62343,1142
"2024 Q2",63347,13776
"2024 Q3",65763,14590
"2024 Q4",71933,16164
"2025 Q1",73531,16834
"2025 Q2",76603,17911
"2025 Q3",80190,19731
"2025 Q4",80590,20564
