"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,0.01,0.06,
"2010",0,0,,0.04,0.09,
"2011",0.03,0,,0.07,0.11,
"2012",0.05,0.01,,0.3,0.27,
"2013",0.02,0,,0.39,0.23,
"2014",0.03,0.01,,0.77,0.73,
"2015",0.14,0.04,,0.56,1.2,
"2016",0.08,0.05,,0.19,1.1,
"2017",0.14,0.09,,0.45,1.07,
"2018",0.28,0.09,,0.31,0.75,
"2019",0.31,0.19,,0.16,0.72,
"2020",1.61,0.97,0,0.61,0.64,
"2021",1.28,1.83,0,0.98,0.4,
"2022",2.05,1.85,0,2.06,0.42,
"2023",3.39,2.51,0.01,1.58,0.21,
"2024",4.7,2.51,0,1.98,0.09,
"2025",5.54,4.31,0,2.32,,
