"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,0.27,0.25,
"2010",0,0,,0.28,0.17,
"2011",0.06,0.01,,0.15,0.2,
"2012",0.08,0.04,,0.37,0.17,
"2013",0.18,0.02,,0.21,0.27,
"2014",0.3,0.11,0,0.21,0.27,
"2015",0.42,0.31,0,0.15,0.16,
"2016",0.38,0.37,0,0.09,0.1,
"2017",0.75,0.8,0,0.13,0.11,
"2018",1.06,0.86,0,0.14,0.31,
"2019",1.7,1.23,0.01,0.2,0.21,
"2020",6.56,6.84,0.01,0.22,0.25,
"2021",13.4,12.3,0.02,0.35,0.14,
"2022",17.51,13.56,0.03,0.57,0.07,
"2023",18.28,6.11,0.01,0.46,0.05,
"2024",13.47,6.77,0.01,0.49,0,
"2025",18.78,10.76,0,0.39,0,
