"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,0,13.99,5.42,
"2010",0,0,0,14.12,3.35,
"2011",0.01,0,0,3.24,2.19,
"2012",0.04,0.01,0,9.13,3.82,
"2013",0.06,0.01,,8.85,5.52,
"2014",0.08,0.01,0,9.06,5.26,
"2015",0.1,0.05,0,7.57,3.95,
"2016",0.08,0.07,,5.5,2.37,
"2017",0.11,0.13,,6.44,1.64,
"2018",0.27,0.24,0,6.42,1.93,
"2019",0.55,0.33,0,6.54,1.98,
"2020",2.35,1.99,0,6.77,2.27,
"2021",4.62,4.83,0,6.65,2.01,
"2022",3.75,5.3,0,8.96,0.81,
"2023",4.23,4.4,0,9.03,0.12,
"2024",4.25,3.35,0,9.32,0.08,
"2025",5.83,6.12,0,8.41,0,
