"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.01,0,,,0.2,
"2010",0.02,0,,0.97,0.09,
"2011",0.15,0,,1.42,0.12,
"2012",0.16,0.86,,1.77,0.22,
"2013",0.75,4.72,,0.95,0.15,
"2014",0.84,3.05,,0.31,0.82,
"2015",0.85,8.72,0,0.12,0.17,
"2016",1.05,4.91,0,0.26,0.17,
"2017",1.92,0.28,0,0.31,0.23,
"2018",5.42,0.64,0,0.23,0.24,
"2019",13.86,1.11,0.04,0.12,0.06,
"2020",20.43,4.45,0.04,0.58,0.02,
"2021",19.89,9.59,0.04,0.51,0.01,
"2022",23.32,10.97,0.03,0.72,0.01,
"2023",30.52,12.61,0.01,0.64,0,
"2024",34.45,13.71,0,0.57,,
"2025",36.68,19.98,0,0.29,,
