"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,0,,30,
"2009",0,0,0,,24,
"2010",34,0,0,,33,
"2011",288,16,0,,49,
"2012",585,326,0,,84,
"2013",494,60,,,132,
"2014",1339,652,1,,917,
"2015",1613,2170,5,123,662,
"2016",2216,7124,9,155,2146,
"2017",2945,11651,11,189,2502,
"2018",4041,9440,13,179,3994,
"2019",8886,8830,12,115,3509,
"2020",14996,33006,23,996,2563,
"2021",21975,48447,21,1957,922,
"2022",37815,60541,20,2462,424,
"2023",93382,100429,9,3461,98,
"2024",127242,66383,3,3499,14,
"2025",119523,33243,1,2560,,
