"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,0,67,
"2009",0,0,,19,103,
"2010",4,0,,69,150,
"2011",56,0,,127,194,
"2012",92,16,,514,470,
"2013",33,4,,647,379,
"2014",58,13,,1481,1402,
"2015",312,89,,1279,2751,
"2016",210,129,,498,2843,
"2017",376,241,,1200,2890,
"2018",731,243,,816,1936,
"2019",778,482,,406,1788,
"2020",3264,1975,2,1237,1293,
"2021",2644,3779,7,2019,821,
"2022",3930,3560,3,3966,808,
"2023",7504,5558,16,3502,456,
"2024",10876,5808,0,4583,216,
"2025",11440,8788,2,4677,,
