"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,471,
"2009",10,0,,,393,
"2010",134,0,,,350,
"2011",2630,0,,,200,
"2012",5663,668,,,155,
"2013",8583,810,,,3153,
"2014",11139,1011,,,2568,
"2015",17741,5043,8,319,1785,
"2016",23011,6457,34,544,1208,
"2017",26509,10549,28,942,115,
"2018",32209,13389,35,2163,127,
"2019",42933,18549,63,2032,297,
"2020",110909,74587,211,10698,376,
"2021",162105,141439,62,35222,152,
"2022",202868,126166,193,60881,112,
"2023",296902,161999,306,63096,4849,
"2024",290748,146392,529,52200,5836,
"2025",249760,81942,311,42409,6,
