"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,14175,11896,
"2009",15,0,,11083,10062,
"2010",144,0,,8154,4982,
"2011",1828,266,,4873,6283,
"2012",2555,1232,,11465,5215,
"2013",5434,445,,6257,7835,
"2014",9141,3321,3,6234,8194,
"2015",13369,10001,72,4716,5285,
"2016",12415,12091,49,2990,3240,
"2017",25764,27596,82,4400,3723,
"2018",36533,29718,107,4663,10804,
"2019",61415,44260,201,7256,7628,
"2020",191330,199606,282,6543,7159,
"2021",351332,322424,498,9225,3726,
"2022",464322,359566,892,15006,1846,
"2023",520074,173833,273,13147,1327,
"2024",379472,190844,374,13711,137,
"2025",434756,248616,38,9132,2,
