"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,0,56260,78801,
"2009",0,0,0,329900,127821,
"2010",40,0,0,277039,65772,
"2011",117,3,0,56658,38282,
"2012",507,145,0,128126,53550,
"2013",846,162,,116100,72387,
"2014",1155,148,10,124635,72387,
"2015",1576,740,1,120728,62939,
"2016",1497,1309,,101753,43787,
"2017",2109,2649,,128397,32745,
"2018",5155,4661,1,124771,37430,
"2019",10718,6488,17,127461,38638,
"2020",32477,27402,7,93438,31381,
"2021",67356,70378,10,96960,29237,
"2022",49407,69806,11,117911,10684,
"2023",66294,68814,2,141422,1892,
"2024",66227,52161,0,145154,1241,
"2025",67350,78183,1,107037,4,
