"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,600,
"2009",28,2,,,900,
"2010",86,0,,4694,412,
"2011",849,15,,7912,673,
"2012",828,4326,,8918,1104,
"2013",3118,19673,,3961,623,
"2014",3238,11828,,1206,3165,
"2015",3797,39150,14,518,755,
"2016",4025,18775,14,982,659,
"2017",7961,1165,3,1286,962,
"2018",24033,2820,13,1015,1055,
"2019",61696,4931,156,524,246,
"2020",73129,15933,148,2062,55,
"2021",64419,31049,122,1658,25,
"2022",73126,34411,89,2262,17,
"2023",113587,46920,40,2395,6,
"2024",132166,52576,0,2182,,
"2025",107736,62329,1,819,,
