"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,53125,230,
"2009",0,0,,90009,,
"2010",0,0,,150500,,
"2011",35,0,,155897,,
"2012",19,12,,148725,,
"2013",26,5,,68869,3030,
"2014",92,48,,72048,3146,
"2015",112,148,,89117,6,
"2016",157,111,,104515,11,
"2017",508,385,,104376,,
"2018",694,586,,7527,19,
"2019",1464,1166,,8095,48,
"2020",3673,4362,,9138,32,
"2021",7167,9153,74,10330,6,
"2022",11278,10730,41,12225,,
"2023",17083,13030,83,12596,,
"2024",16564,14902,7,16562,,
"2025",25829,21497,1,12620,,
