"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,300,
"2009",1,0,,,,
"2010",73,0,,,,
"2011",568,8,,,,
"2012",443,109,,,4,
"2013",936,73,,,9,
"2014",1085,306,,1108,92,
"2015",1461,761,,2337,143,
"2016",2211,1507,,1445,393,
"2017",4084,3316,,4079,1306,
"2018",6135,5529,,17087,4067,
"2019",10427,7425,1,19715,5475,
"2020",18233,23759,6,9880,3310,
"2021",24230,43069,10,8771,1096,
"2022",31412,47925,4,14930,336,
"2023",54845,62171,4,26218,117,
"2024",58856,58485,0,33526,,
"2025",84248,100952,1,43058,,
