"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,1367,
"2009",18,0,,,6116,
"2010",56,2,,,6692,
"2011",183,0,,,6609,
"2012",267,657,,,5430,
"2013",453,1103,,1,3859,
"2014",1370,3300,,,5016,
"2015",3103,5408,1,,5109,
"2016",3219,10027,18,,3443,
"2017",4403,15548,14,,3264,
"2018",7263,21375,5,,3236,
"2019",15594,24431,2,,4966,
"2020",27897,65831,5,0,3524,
"2021",57454,77842,16,,1386,
"2022",94603,66485,2,,1881,
"2023",111338,61186,2,,2061,
"2024",94333,62751,2,,1122,
"2025",80988,61883,3,,5,
