Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_EG,Log_Available,Log_AC Recharging Speed (km/h)
Austria,2020,6.41,380317.9,1.381910633518592,-1.6,26797.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,2.0028304393079956,10.196082536848554,12.848765390288618,0.8679029528147836,,4.584967478670572,3.696979093414722
Austria,2021,13.92,406231.5,2.7666666666667,2.0,39904.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.702702594775615,10.59425690831011,12.91468093477517,1.326190437050194,1.0986122886681098,5.1298987149230735,3.7353895882770836
Austria,2022,15.7,449382.2,8.546869931884492,2.7,61393.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.8154087194227095,11.02506738949063,13.015631254857027,2.2562133449453463,1.308332819650179,5.537334267018537,3.918299562862077
Austria,2023,19.91,477837.3,7.814134170028328,0.8,76773.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,3.0402275134405423,11.24862132015093,13.07702766972365,2.1763565886806466,0.5877866649021191,5.918893854273146,4.267004208104314
Austria,2024,17.58,494087.6,2.937915742793849,0.1,102562.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.922085733385692,11.538232522896736,13.110470132315092,1.3706515840494515,0.09531017980432487,6.314133279515715,4.534493983900053
Austria,2025,21.34,510890.54051192733,3.527194399569225,0.0125,137013.84398160814,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,3.1063787936410545,11.827844549171516,13.14391259717031,1.5101024097825972,0.012422519998557155,6.709659968072142,4.802766936988945
Belgium,2020,3.48,463750.9,0.740791812220353,-0.1,28147.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.4996230464268938,10.24523158308644,13.04710498993043,0.5543400742104477,-0.10536051565782631,4.584967478670572,3.696979093414722
Belgium,2021,5.74,506047.2,2.440248511440835,1.7,43781.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.9080599249242156,10.686978052993675,13.134387200649947,1.2355437104739184,0.9932517730102833,5.1298987149230735,3.7353895882770836
Belgium,2022,10.32,561309.1,9.597511728725012,1.9,72304.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,2.4265710727750367,11.188648562048893,13.238028794711035,2.360619230988559,1.0647107369924282,5.537334267018537,3.918299562862077
Belgium,2023,19.59,602376.3,4.049010776139445,0.8,147542.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,3.0248055210396982,11.90187493770046,13.308639272154892,1.619192338186136,0.5877866649021191,5.918893854273146,4.267004208104314
Belgium,2024,28.38,620271.8,3.143491365000369,0.3,263074.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,3.380314170745731,12.480194441609013,13.337914660249659,1.4215387573179101,0.262364264467491,6.314133279515715,4.534493983900053
Belgium,2025,34.4,638698.9426297814,2.467055437746138,0.11249999999999998,469072.7350584918,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,3.5667118201397288,13.058515252679747,13.367190049726256,1.243305656695074,0.10660973505825821,6.709659968072142,4.802766936988945
Bulgaria,2020,1.24,120979.0,1.672440968557628,-1.8,609.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.8064758658669484,6.413458957167357,11.703380521660906,0.9829922752007532,,4.584967478670572,3.696979093414722
Bulgaria,2021,2.24,139536.6,3.297744352995085,0.1,1634.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.1755733298042381,7.399398083331354,11.84608937797596,1.4580903159941168,0.09531017980432487,5.1298987149230735,3.7353895882770836
Bulgaria,2022,3.56,168354.3,15.32525892643667,1.1,3322.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.5173226235262949,8.108623268354595,12.033831906125155,2.7927135357679043,0.7419373447293773,5.537334267018537,3.918299562862077
Bulgaria,2023,4.9,184875.0,9.442841400885662,1.1,5338.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.7749523509116738,8.582793648500186,12.127440609058647,2.3459167102601537,0.7419373447293773,5.918893854273146,4.267004208104314
Bulgaria,2024,3.96,204906.9,2.446519430060781,1.1,10290.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.601405740736836,9.239025005836092,12.230315888876625,1.2373648609486794,0.7419373447293773,6.314133279515715,4.534493983900053
Bulgaria,2025,4.93,227109.3315354158,4.580843552356987,1.1,19835.912326714126,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,1.780024213009634,9.895299740033618,12.33319122038962,1.7193399392250674,0.7419373447293773,6.709659968072142,4.802766936988945
Croatia,2020,1.48,50744.0,0.154811374562112,-1.4,1148.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.9082585601768908,7.046647277848756,10.834568369882918,0.1439370185694536,,4.584967478670572,3.696979093414722
Croatia,2021,3.01,58343.1,2.554506996420369,1.6,3514.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.3887912413184778,8.164794804244766,10.974113518634903,1.2682163747130395,0.9555114450274363,5.1298987149230735,3.7353895882770836
Croatia,2022,3.04,67613.0,10.78058067586863,1.9,3725.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.3962446919730587,8.223090551161533,11.121570341180405,2.4664524703760184,1.0647107369924282,5.537334267018537,3.918299562862077
Croatia,2023,2.87,79186.3,7.941281775868271,1.7,4792.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.3532545070416904,8.474911799159631,11.279571211409161,2.1906789542849197,0.9932517730102833,5.918893854273146,4.267004208104314
Croatia,2024,2.76,85905.2,2.972004776436221,5.6,6380.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.324418957401803,8.761080103868347,11.361011282317659,1.3792709487089456,1.8870696490323797,6.314133279515715,4.534493983900053
Croatia,2025,1.64,93194.19378150007,3.691534596057209,18.44705882352941,8494.240400667779,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,0.9707789171582248,9.047261332783641,11.442451430475938,1.5457597349203323,2.9676958413307077,6.709659968072142,4.802766936988945
