"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","LUX.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Luxembourg","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","0.819957302127018","2.526920090661688","6.336008077779127","3.741403619831411","2.051132699548584",""
"IMF.STA:CPI(5.0.0)","MLT.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Malta","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","0.6385449567766467","1.497892179347314","6.153756219330356","5.093967589788786","1.650794692831084",""
"IMF.STA:CPI(5.0.0)","CYP.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Cyprus","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","-0.6384227979789451","2.446088671754743","8.395482979933317","3.541341887516581","1.800230186248181",""
"IMF.STA:CPI(5.0.0)","ROU.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Romania","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.631073111847455","5.052328760965817","13.79548874325207","10.39718747649961","5.721405743544354",""
"IMF.STA:CPI(5.0.0)","BEL.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Belgium","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","0.740791812220353","2.440248511440835","9.597511728725013","4.049010776139445","3.143491365000369","2.467055437746138"
"IMF.STA:CPI(5.0.0)","DNK.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Denmark","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","0.4207119741100971","1.853045439896808","7.696566998892644","3.305178112376054","1.372200497689185","1.893673727030524"
"IMF.STA:CPI(5.0.0)","LTU.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.199894449835678","4.683544209034547","19.70504615183938","9.117319623904732","0.7157358352286966","3.791705108604704"
"IMF.STA:CPI(5.0.0)","NLD.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Netherlands, The","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.272460377891656","2.675720088053855","10.00120787534726","3.838393543428104","3.347543042199504","3.259576645136613"
"IMF.STA:CPI(5.0.0)","FIN.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Finland","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","0.2905545556533039","2.194574323400038","7.123507733014013","6.250643221547617","1.565689062316196","0.3378746594005995"
"IMF.STA:CPI(5.0.0)","GRC.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Greece","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","-1.247983555814084","1.223825010198541","9.645259812806384","3.464801285134019","2.741490457886056","2.481626943608336"
"IMF.STA:CPI(5.0.0)","PRT.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Portugal","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","-0.01243832995753314","1.265657190690413","7.832691242333217","4.311281918986795","2.416131877918763","2.336016203166993"
"IMF.STA:CPI(5.0.0)","BGR.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Bulgaria","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.672440968557628","3.297744352995085","15.32525892643667","9.442841400885662","2.446519430060781","4.580843552356987"
"IMF.STA:CPI(5.0.0)","CZE.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Czech Republic","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.161295284978078","3.83984491500143","15.10016514683717","10.66126013724261","2.43531202435312","2.459963678388641"
