Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austria,"308,167.00","316,589.40","321,191.70","330,113.50","342,083.50","355,665.60","367,294.90","383,234.30","395,706.80","380,317.90","406,231.50","449,382.20","477,837.30","494,087.60",
Belgium,"378,745.40","387,934.90","394,616.30","404,958.30","415,538.00","428,467.10","443,407.20","459,491.80","479,444.90","463,750.90","506,047.20","561,309.10","602,376.30","620,271.80",
Bulgaria,"81,126.30","82,642.80","82,253.40","84,147.70","89,571.40","95,349.40","102,683.00","109,525.90","119,685.90","120,979.00","139,536.60","168,354.30","184,875.00","204,906.90",
Croatia,"45,178.90","44,791.50","45,061.50","44,867.90","45,965.70","47,565.90","49,732.50","52,216.70","54,905.50","50,744.00","58,343.10","67,613.00","79,186.30","85,905.20",
Cyprus,"19,858.10","19,495.40","18,040.30","17,482.80","17,944.20","19,013.80","20,312.40","21,807.80","23,400.90","22,373.60","25,679.90","29,645.40","32,439.20","34,770.20",
Czechia,"4,095,355.00","4,118,386.00","4,169,011.00","4,377,991.00","4,651,813.00","4,843,030.00","5,179,344.00","5,475,773.00","5,888,869.00","5,828,318.00","6,307,755.00","7,049,872.00","7,659,655.00","8,057,032.00",
Denmark,"1,848,531.10","1,892,938.00","1,935,555.20","1,980,261.20","2,030,205.90","2,101,520.30","2,189,589.40","2,243,542.20","2,303,636.70","2,326,592.30","2,553,260.50","2,831,269.60","2,787,929.90","2,926,877.80",
Estonia,"16,741.90","18,086.60","19,163.20","20,365.60","21,010.90","22,189.00","24,316.10","26,438.50","28,472.10","27,859.30","31,453.30","36,300.90","38,353.40","39,847.70",
Finland,"197,655.00","200,378.00","203,497.00","205,855.00","210,192.00","215,717.00","224,706.00","231,905.00","238,518.00","236,387.00","248,764.00","266,135.00","272,848.00","275,963.00",
France,"2,062,141.40","2,088,286.70","2,120,351.90","2,153,733.10","2,201,401.60","2,231,819.20","2,291,680.50","2,355,362.80","2,432,206.80","2,318,276.20","2,508,102.30","2,653,997.20","2,826,541.50","2,919,899.90",
Germany,"2,746,910.00","2,799,280.00","2,866,480.00","2,984,470.00","3,087,030.00","3,195,210.00","3,333,110.00","3,434,030.00","3,537,280.00","3,450,720.00","3,682,340.00","3,989,390.00","4,219,310.00","4,328,970.00","4,470,480.00"
Greece,"203,475.00","185,899.20","178,113.90","176,071.80","175,362.90","174,448.20","177,378.50","180,615.70","185,181.20","167,539.50","184,574.60","207,008.70","224,686.20","236,736.00",
Hungary,"28,492,068.00","28,919,193.00","30,343,344.00","32,826,770.00","34,984,755.00","36,311,882.00","39,335,929.00","43,553,984.00","47,940,496.00","48,807,766.00","55,560,466.00","65,950,424.00","75,292,668.00","81,447,664.00",
Ireland,"173,120.40","176,621.90","182,908.60","200,594.90","272,282.90","275,933.10","308,366.00","335,136.00","363,752.60","381,728.70","448,445.10","520,718.40","524,728.80","562,794.20",
Italy,"1,657,362.20","1,632,898.50","1,621,260.70","1,635,870.70","1,663,277.70","1,704,856.70","1,744,493.00","1,777,744.40","1,804,066.80","1,670,011.90","1,842,507.40","1,998,072.60","2,142,601.70","2,199,619.40",
Latvia,"19,117.30","21,104.30","21,956.20","22,790.50","23,744.30","24,498.20","26,017.10","28,153.40","29,567.00","29,224.30","32,283.80","36,088.70","39,564.20","40,359.40",
Lithuania,"31,066.40","33,240.40","34,874.00","36,410.10","37,440.70","38,820.70","42,274.60","45,947.40","49,239.20","50,264.60","56,709.10","67,081.10","74,317.00","78,996.20",
Luxembourg,"44,323.50","46,526.20","49,094.50","51,791.30","54,142.30","56,208.10","58,168.80","60,193.40","62,415.00","64,499.20","73,039.50","76,731.20","82,115.50","86,180.30",
Malta,"7,032.80","7,479.50","8,129.40","8,948.50","10,221.40","10,864.30","12,535.70","13,678.60","14,594.20","14,362.40","16,689.90","17,974.70","20,911.20","23,071.00",
Netherlands,"656,013.00","658,232.00","665,567.00","678,627.00","699,175.00","720,175.00","750,861.00","787,273.00","829,767.00","816,463.00","891,550.00","993,820.00","1,050,133.00","1,122,459.00",
Poland,"1,563,935.00","1,622,242.00","1,637,768.00","1,710,185.00","1,809,564.00","1,865,960.00","1,996,836.00","2,147,587.00","2,313,929.00","2,362,909.00","2,661,518.00","3,100,850.00","3,415,274.00","3,653,432.00",
Portugal,"176,318.00","168,538.80","170,675.60","173,186.70","179,392.70","186,380.70","195,509.10","204,997.60","214,489.90","201,032.70","216,493.70","243,957.10","270,352.60","289,428.00",
Romania,"587,235.00","621,214.70","631,634.00","668,905.00","712,548.60","752,129.10","851,620.60","953,049.20","1,059,822.10","1,063,650.70","1,186,015.40","1,384,597.80","1,590,749.40","1,759,183.30",
Slovakia,"71,629.50","73,727.60","74,642.70","76,562.30","80,376.30","81,621.60","84,960.40","90,275.90","94,547.50","94,320.60","101,891.60","109,959.80","123,538.70","130,207.50",
Slovenia,"36,782.20","35,933.60","36,041.30","37,270.90","38,493.90","40,013.20","42,625.50","45,462.40","48,156.50","46,738.70","52,032.40","56,881.60","64,050.00","67,418.10",
Spain,"1,068,690.00","1,035,964.00","1,025,652.00","1,038,949.00","1,087,112.00","1,122,967.00","1,170,024.00","1,212,276.00","1,253,710.00","1,129,214.00","1,235,474.00","1,375,863.00","1,497,761.00","1,594,330.00",
Sweden,"3,704,817.00","3,724,495.00","3,804,976.00","3,963,666.00","4,230,936.00","4,392,801.00","4,575,114.00","4,777,837.00","5,021,382.00","5,012,855.00","5,417,760.00","5,816,415.00","6,143,187.00","6,379,843.00",
