"Category","AC","DC"
"2020 Q1",5475,458
"2020 Q2",5676,492
"2020 Q3",6013,579
"2020 Q4",6874,1230
"2021 Q1",7148,919
"2021 Q2",7825,997
"2021 Q3",10109,1167
"2021 Q4",10452,1287
"2022 Q1",12041,1491
"2022 Q2",12987,1691
"2022 Q3",13609,1990
"2022 Q4",15251,2333
"2023 Q1",15429,2416
"2023 Q2",17344,2748
"2023 Q3",17259,2941
"2023 Q4",15229,3407
"2024 Q1",18297,3836
"2024 Q2",18751,4485
"2024 Q3",21707,5065
"2024 Q4",24213,6208
"2025 Q1",26125,7400
"2025 Q2",26430,7653
"2025 Q3",28031,8750
"2025 Q4",25585,9121
