"Category","AC","DC"
"2020 Q1",6181,126
"2020 Q2",6585,145
"2020 Q3",6974,133
"2020 Q4",7592,411
"2021 Q1",9067,364
"2021 Q2",10360,426
"2021 Q3",10833,472
"2021 Q4",11745,514
"2022 Q1",13254,601
"2022 Q2",15535,629
"2022 Q3",17738,717
"2022 Q4",22914,916
"2023 Q1",29195,1223
"2023 Q2",32136,1620
"2023 Q3",37108,1898
"2023 Q4",41903,2459
"2024 Q1",49739,2690
"2024 Q2",62813,3678
"2024 Q3",63353,3982
"2024 Q4",72193,4626
"2025 Q1",79058,5322
"2025 Q2",82509,6064
"2025 Q3",87610,6616
"2025 Q4",91586,7121
