"Category","AC","DC"
"2020 Q1",2150,236
"2020 Q2",2208,258
"2020 Q3",2705,237
"2020 Q4",3035,512
"2021 Q1",3352,398
"2021 Q2",3877,395
"2021 Q3",4885,432
"2021 Q4",5386,457
"2022 Q1",6178,509
"2022 Q2",9142,590
"2022 Q3",10208,789
"2022 Q4",9899,919
"2023 Q1",12646,1149
"2023 Q2",14616,1470
"2023 Q3",17829,1800
"2023 Q4",20896,2175
"2024 Q1",22672,3107
"2024 Q2",25200,3925
"2024 Q3",27448,4689
"2024 Q4",30432,5437
"2025 Q1",35814,6390
"2025 Q2",37931,7179
"2025 Q3",41758,7850
"2025 Q4",41845,8493
