"Category","AC","DC"
"2020 Q1",30710,2684
"2020 Q2",34516,3267
"2020 Q3",34639,3609
"2020 Q4",36132,5067
"2021 Q1",38980,5223
"2021 Q2",41446,5733
"2021 Q3",49108,6200
"2021 Q4",51041,6933
"2022 Q1",55285,8146
"2022 Q2",60099,9128
"2022 Q3",64471,10785
"2022 Q4",70997,12819
"2023 Q1",71838,14701
"2023 Q2",76161,16946
"2023 Q3",85592,19173
"2023 Q4",97704,22908
"2024 Q1",105306,25522
"2024 Q2",121450,30122
"2024 Q3",109197,30440
"2024 Q4",124484,35474
"2025 Q1",130791,38057
"2025 Q2",143485,43078
"2025 Q3",147649,45832
"2025 Q4",150477,50353
