"Category","AC","DC"
"2020 Q1",7624,78
"2020 Q2",8160,319
"2020 Q3",9272,362
"2020 Q4",10519,1045
"2021 Q1",13045,912
"2021 Q2",17025,1165
"2021 Q3",17358,1172
"2021 Q4",19865,1500
"2022 Q1",19317,1561
"2022 Q2",22871,2156
"2022 Q3",25442,2734
"2022 Q4",27561,3294
"2023 Q1",29551,4273
"2023 Q2",32301,4997
"2023 Q3",34713,5617
"2023 Q4",35195,5918
"2024 Q1",37864,6565
"2024 Q2",40149,7409
"2024 Q3",44143,8819
"2024 Q4",47803,10386
"2025 Q1",50961,11835
"2025 Q2",52175,12800
"2025 Q3",53454,13520
"2025 Q4",55484,14555
