"Category","AC","DC"
"2020 Q1",49635,572
"2020 Q2",52923,586
"2020 Q3",55291,700
"2020 Q4",63043,1414
"2021 Q1",70127,1375
"2021 Q2",74991,1443
"2021 Q3",78945,1581
"2021 Q4",82900,1688
"2022 Q1",89046,1884
"2022 Q2",94679,1988
"2022 Q3",99043,2455
"2022 Q4",111556,2754
"2023 Q1",125818,2994
"2023 Q2",135314,3290
"2023 Q3",143460,3484
"2023 Q4",140561,3889
"2024 Q1",150042,4177
"2024 Q2",162685,4726
"2024 Q3",165698,4974
"2024 Q4",177706,5294
"2025 Q1",183015,5227
"2025 Q2",190644,5846
"2025 Q3",194309,6225
"2025 Q4",196286,6547
