"Category","AC","DC"
"2020 Q1",2018,327
"2020 Q2",3411,415
"2020 Q3",4158,620
"2020 Q4",4601,1140
"2021 Q1",4830,1120
"2021 Q2",5035,1207
"2021 Q3",5853,1447
"2021 Q4",6967,1624
"2022 Q1",8412,1605
"2022 Q2",9856,2174
"2022 Q3",12994,2984
"2022 Q4",18347,3743
"2023 Q1",19642,3791
"2023 Q2",23213,4164
"2023 Q3",22478,4868
"2023 Q4",24930,5442
"2024 Q1",21808,6847
"2024 Q2",23569,7601
"2024 Q3",26033,7840
"2024 Q4",35982,9231
"2025 Q1",32309,9633
"2025 Q2",33846,10484
"2025 Q3",34862,11016
"2025 Q4",34958,11944
