"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0.01,0,,,0.13,
"2010",0.03,0,,,0.1,
"2011",0.18,0,,,0.12,
"2012",0.13,0.08,,,0.14,
"2013",0.21,0.03,,,0.2,
"2014",0.44,0.07,0,,0.26,
"2015",0.55,0.32,0,0,0.23,
"2016",1.15,0.36,,0.04,0.15,
"2017",1.53,0.52,0,,0.12,
"2018",1.99,0.62,0,,0.19,
"2019",2.81,0.84,0.01,0,0.18,
"2020",6.41,3.12,0.01,0,0.16,
"2021",13.92,6.1,0.01,0,0.03,
"2022",15.7,6.17,0.01,0,0.03,
"2023",19.91,6.86,0,0,0,
"2024",17.58,6.67,0,0,0,
"2025",21.34,9.92,0,0,,
