"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,0,,0,
"2010",0.01,0,0,,0.01,
"2011",0.05,0,0,,0.01,
"2012",0.12,0.07,0,,0.02,
"2013",0.1,0.01,,,0.03,
"2014",0.27,0.13,0,,0.19,
"2015",0.32,0.43,0,0.02,0.13,
"2016",0.41,1.3,0,0.03,0.39,
"2017",0.53,2.1,0,0.03,0.45,
"2018",0.72,1.69,0,0.03,0.72,
"2019",1.59,1.58,0,0.02,0.63,
"2020",3.48,7.65,0.01,0.23,0.59,
"2021",5.74,12.65,0.01,0.51,0.24,
"2022",10.32,16.53,0.01,0.67,0.12,
"2023",19.59,21.07,0,0.73,0.02,
"2024",28.38,14.81,0,0.78,0,
"2025",34.4,9.43,0,0.72,,
