"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,,0.01,
"2010",0.01,0,,,0.02,
"2011",0.12,0,,,0.01,
"2012",0.3,0.04,,,0.01,
"2013",0.49,0.05,,,0.18,
"2014",0.63,0.06,,,0.15,
"2015",0.94,0.27,0,0.02,0.09,
"2016",1.16,0.33,0,0.03,0.06,
"2017",1.27,0.51,0,0.05,0.01,
"2018",1.51,0.63,0,0.1,0.01,
"2019",1.98,0.85,0,0.09,0.01,
"2020",6.72,4.52,0.01,0.65,0.02,
"2021",9.77,8.53,0,2.12,0.01,
"2022",13.27,8.25,0.01,3.98,0.01,
"2023",16.73,9.13,0.02,3.56,0.27,
"2024",16.92,8.52,0.03,3.04,0.34,
"2025",20.01,6.67,0.02,3.08,0,
